file,line,candidate_sizes_under_48dp,style
app/(tabs)/_layout.tsx,71,width=40; height=30,"iconCapsule: { width: 40, height: 30, borderRadius: 15, alignItems: 'center', justifyContent: 'center' },"
app/(tabs)/cycle.tsx,598,minHeight=44,"quickAction: { minHeight: 44, borderRadius: 22, borderWidth: 1, paddingHorizontal: 14, flexDirection: 'row', alignItems: 'center', gap: 8 },"
app/(tabs)/cycle.tsx,637,minHeight=40,"emptyCycleAction: { marginTop: 12, minHeight: 40, borderRadius: 999, borderWidth: 1, borderColor: '#E7DADF', paddingHorizontal: 14, flexDirection: 'row', alignItems: 'center', alignSelf: 'flex-start', gap: 6, backgroundColor: '#FFFDFE' },"
app/(tabs)/cycle.tsx,647,minHeight=42,"symptomChip: { minHeight: 42, borderRadius: 999, borderWidth: 1, flexDirection: 'row', alignItems: 'center', gap: 7, paddingHorizontal: 12 },"
app/(tabs)/for-you.tsx,259,minHeight=46,"inlineAction: { alignSelf: 'flex-start', minHeight: 46, borderRadius: 23, backgroundColor: LousaPalette.berry, paddingHorizontal: 16, flexDirection: 'row', alignItems: 'center', gap: 8, marginTop: 14 },"
app/(tabs)/index.tsx,402,minHeight=40,"noDataButton: { marginTop: 12, minHeight: 40, borderRadius: 999, borderWidth: 1, borderColor: '#E7DADF', paddingHorizontal: 14, flexDirection: 'row', alignItems: 'center', alignSelf: 'flex-start', gap: 6, backgroundColor: '#FFFDFE' },"
app/(tabs)/index.tsx,427,minHeight=44,"detailAction: { minHeight: 44, flexDirection: 'row', alignItems: 'center', justifyContent: 'center', gap: 6, marginTop: 8 },"
app/(tabs)/index.tsx,440,minHeight=43,"feedbackButton: { minHeight: 43, borderRadius: 999, paddingHorizontal: 15, borderWidth: 1, flexDirection: 'row', alignItems: 'center', justifyContent: 'center', gap: 6 },"
app/(tabs)/index.tsx,444,minHeight=42,"sourceButton: { minHeight: 42, flexDirection: 'row', alignItems: 'center', gap: 6, alignSelf: 'flex-start', marginTop: 7 },"
app/(tabs)/wellness.tsx,229,minHeight=44,"heroAction: { marginTop: 16, minHeight: 44, borderRadius: 22, paddingHorizontal: 16, backgroundColor: LousaPalette.berry, flexDirection: 'row', alignItems: 'center', gap: 8 },"
app/auth/login.tsx,1738,height=34; minWidth=30,"languageItemCompact: { minWidth: 30, height: 34, paddingHorizontal: 5 },"
app/auth/onboarding.tsx,305,width=44; width=44; height=44,"headerButton: { width: 44, height: 44, borderRadius: 22, alignItems: 'center', justifyContent: 'center', ...LousaShadow.soft }, headerPlaceholder: { width: 44 },"
app/auth/onboarding.tsx,309,width=44; height=44,"hint: { fontFamily: 'sans-serif', fontSize: 12, lineHeight: 17, marginVertical: 12 }, dateList: { marginTop: 12 }, dateRow: { minHeight: 48, flexDirection: 'row', alignItems: 'center', borderBottomWidth: StyleSheet.hairlineWidth }, dateText: { flex: 1, fontFamily: 'sans-serif-medium', fontSize: 13 }, removeButton: { width: 44, height: 44, alignItems: 'center', justifyContent: 'center' },"
app/auth/onboarding.tsx,310,minHeight=44,"subheading: { fontFamily: 'sans-serif-medium', fontSize: 17, lineHeight: 23, marginTop: 24, marginBottom: 11 }, durationRow: { flexDirection: 'row', gap: 8, flexWrap: 'wrap' }, durationButton: { width: 50, height: 48, borderRadius: 16, borderWidth: 1, alignItems: 'center', justifyContent: 'center' }, durationValue: { fontFamily: 'sans-serif-medium', fontSize: 14 }, unknownButton: { minHeight: 44, "
app/screens/address-map.tsx,942,width=46; height=46,"iconButton: { width: 46, height: 46, borderRadius: 23, alignItems: 'center', justifyContent: 'center' },"
app/screens/address-map.tsx,961,minHeight=42,"retryButton: { minHeight: 42, borderRadius: 999, paddingHorizontal: 18, alignItems: 'center', justifyContent: 'center', backgroundColor: LousaPalette.berry },"
app/screens/address-map.tsx,967,minHeight=36,"settingsButton: { minHeight: 36, borderRadius: 999, paddingHorizontal: 13, alignItems: 'center', justifyContent: 'center', backgroundColor: LousaPalette.berry },"
app/screens/address-map.tsx,977,minHeight=42,"labelChip: { minHeight: 42, borderRadius: 999, borderWidth: 1, paddingHorizontal: 15, alignItems: 'center', justifyContent: 'center' },"
app/screens/analytics.tsx,205,minHeight=42,"periodTab: { flex: 1, minHeight: 42, borderRadius: 17, alignItems: 'center', justifyContent: 'center' },"
app/screens/box-feedback.tsx,97,minHeight=42,"chips: { flexDirection: 'row', flexWrap: 'wrap', gap: 8 }, chip: { minHeight: 42, borderRadius: 999, borderWidth: 1, flexDirection: 'row', alignItems: 'center', gap: 6, paddingHorizontal: 12 }, chipText: { maxWidth: 220, fontFamily: 'sans-serif-medium', fontSize: 12 },"
app/screens/log-state.tsx,275,minHeight=44,"symptomWrap: { flexDirection: 'row', flexWrap: 'wrap', gap: 8 }, symptomChip: { minHeight: 44, maxWidth: '100%', borderRadius: 999, borderWidth: 1, flexDirection: 'row', alignItems: 'center', gap: 7, paddingHorizontal: 12, paddingVertical: 8 }, symptomText: { fontFamily: 'sans-serif-medium', fontSize: 12.5, flexShrink: 1 },"
app/screens/log-state.tsx,276,minWidth=44; minHeight=44,"fieldLabel: { fontFamily: 'sans-serif-medium', fontSize: 14 }, fieldGap: { marginTop: 22 }, optionWrap: { flexDirection: 'row', flexWrap: 'wrap', gap: 8, marginTop: 10 }, choice: { minHeight: 44, borderRadius: 999, borderWidth: 1, alignItems: 'center', justifyContent: 'center', paddingHorizontal: 13, paddingVertical: 8 }, choiceCompact: { minWidth: 44, paddingHorizontal: 10 }, choiceText: { fontFa"
app/screens/log-state.tsx,277,width=44; height=44; minWidth=28,"counterInline: { flexDirection: 'row', alignItems: 'center', justifyContent: 'center', gap: 18, marginTop: 12 }, roundButton: { width: 44, height: 44, borderRadius: 22, borderWidth: 1, alignItems: 'center', justifyContent: 'center' }, roundButtonActive: { backgroundColor: LousaPalette.berry, borderColor: LousaPalette.berry }, counterNumber: { minWidth: 28, textAlign: 'center', fontFamily: 'sans-se"
app/screens/notifications.tsx,288,minHeight=40,"textAction: { minHeight: 40, justifyContent: 'center', paddingHorizontal: 8 },"
app/screens/notifications.tsx,308,minHeight=40,"linkButton: { minHeight: 40, justifyContent: 'center', paddingHorizontal: 6 },"
app/screens/notifications.tsx,313,minHeight=42,"chip: { minHeight: 42, borderRadius: 16, borderWidth: 1, paddingHorizontal: 13, alignItems: 'center', justifyContent: 'center' },"
app/screens/period-editor.tsx,174,minHeight=40,"flowChip: { minHeight: 40, borderWidth: 1, borderRadius: 20, paddingHorizontal: 12, alignItems: 'center', justifyContent: 'center' },"
app/screens/period-editor.tsx,179,height=44,"counter: { height: 44, borderWidth: 1, borderRadius: 22, flexDirection: 'row', alignItems: 'center', justifyContent: 'space-between' },"
app/screens/period-editor.tsx,180,width=42; height=42,"counterButton: { width: 42, height: 42, alignItems: 'center', justifyContent: 'center' },"
app/screens/period-editor.tsx,184,minHeight=40,"booleanChoice: { minHeight: 40, minWidth: 74, borderWidth: 1, borderRadius: 20, alignItems: 'center', justifyContent: 'center' },"
app/screens/period-review.tsx,107,width=34; height=34,"badge: { width: 34, height: 34, borderRadius: 17, alignItems: 'center', justifyContent: 'center' },"
app/screens/period-review.tsx,109,minHeight=44,"actionButton: { minHeight: 44, borderRadius: 22, paddingHorizontal: 16, alignItems: 'center', justifyContent: 'center', borderWidth: 1 },"
app/screens/period-review.tsx,113,width=44; height=44,"iconButton: { width: 44, height: 44, borderRadius: 22, alignItems: 'center', justifyContent: 'center' },"
app/screens/profile.tsx,228,width=30; height=30,"editPhotoBadge: { position: 'absolute', right: -2, bottom: 2, width: 30, height: 30, borderRadius: 15, backgroundColor: LousaPalette.berry, alignItems: 'center', justifyContent: 'center', borderWidth: 3, borderColor: '#FFF' },"
app/screens/settings.tsx,211,minHeight=46,"languageButton: { flex: 1, minHeight: 46, borderRadius: 18, alignItems: 'center', justifyContent: 'center' },"
app/screens/subscription.tsx,261,minHeight=42,"fieldLabel: { fontFamily: 'sans-serif-medium', fontSize: 14 }, fieldGap: { marginTop: 20 }, chips: { flexDirection: 'row', flexWrap: 'wrap', gap: 9, marginTop: 10 }, chip: { minHeight: 42, borderRadius: 999, borderWidth: 1, flexDirection: 'row', alignItems: 'center', gap: 6, paddingHorizontal: 14 }, chipText: { fontFamily: 'sans-serif-medium', fontSize: 12 },"
app/screens/subscription.tsx,271,width=24; height=24; minHeight=42; minHeight=34,"profileLength: { fontFamily: 'sans-serif-medium', fontSize: 12.5, lineHeight: 18, marginTop: 10 }, explainText: { fontFamily: 'sans-serif', fontSize: 12.5, lineHeight: 18, marginTop: 8 }, recommendActions: { flexDirection: 'row', flexWrap: 'wrap', gap: 8, marginTop: 12 }, smallAction: { minHeight: 42, borderRadius: 999, borderWidth: 1, borderColor: LousaPalette.line, paddingHorizontal: 14, alignIt"
app/screens/support.tsx,307,minHeight=36,"refreshButton: { borderRadius: 16, paddingHorizontal: 12, minHeight: 36, alignItems: 'center', justifyContent: 'center', backgroundColor: '#F8E7ED' },"
app/screens/support.tsx,318,minHeight=46,"primaryAction: { backgroundColor: LousaPalette.berry, borderRadius: 18, paddingHorizontal: 16, minHeight: 46, alignItems: 'center', justifyContent: 'center' },"
src/components/DateCalendarPicker.tsx,94,width=42; height=42,"arrow: { width: 42, height: 42, borderRadius: 21, alignItems: 'center', justifyContent: 'center' },"
src/components/DateCalendarPicker.tsx,100,height=42,"dayCell: { width: `${100 / 7}%`, height: 42, alignItems: 'center', justifyContent: 'center' },"
src/components/DateCalendarPicker.tsx,101,width=36; height=36,"dayButton: { width: 36, height: 36, borderRadius: 18, alignItems: 'center', justifyContent: 'center' },"
src/components/LousaMapLibreAddressMap.tsx,262,width=42; height=42,"expandButton: { position: 'absolute', top: 10, right: 10, width: 42, height: 42, borderRadius: 21, backgroundColor: 'rgba(255,253,254,0.96)', alignItems: 'center', justifyContent: 'center', shadowColor: '#2B1F27', shadowOpacity: 0.13, shadowRadius: 10, shadowOffset: { width: 0, height: 4 }, elevation: 5 },"
src/components/TopAppBar.tsx,62,width=44; height=44,"iconButton: { width: 44, height: 44, borderRadius: 22, alignItems: 'center', justifyContent: 'center' },"
src/components/TopAppBar.tsx,64,width=44; height=44,"avatarButton: { width: 44, height: 44, borderRadius: 22, padding: 2, borderWidth: 1 },"
